,id_x,id_y,TF
0,lyr_09444,spa_00195,true
1,lyr_09444,spa_00838,true
2,lyr_09444,spa_00593,true
3,lyr_09444,spa_00663,true
4,lyr_00001,spa_00001,false
5,lyr_00052,spa_00052,false
6,lyr_00044,spa_00044,false
7,lyr_00082,spa_00082,false
8,lyr_00014,spa_00014,false
9,lyr_09444,spa_00193,true
10,lyr_00013,spa_00013,false
11,lyr_00051,spa_00051,false
12,lyr_00098,spa_00098,false
13,lyr_00055,spa_00055,false
14,lyr_00012,spa_00012,false
15,lyr_00031,spa_00031,false
16,lyr_00048,spa_00048,false
17,lyr_00043,spa_00043,false
18,lyr_00091,spa_00091,false
19,lyr_00040,spa_00040,false
20,lyr_00033,spa_00033,false
21,lyr_08212,spa_08199,true
22,lyr_00032,spa_00032,false
23,lyr_00077,spa_00077,false
24,lyr_00050,spa_00050,false
25,lyr_00097,spa_00097,false
26,lyr_00071,spa_00071,false
27,lyr_09444,spa_00594,true
28,lyr_00086,spa_00086,false
29,lyr_09444,spa_01173,true
30,lyr_00003,spa_00003,false
31,lyr_09444,spa_00665,true
32,lyr_00090,spa_00090,false
33,lyr_09444,spa_01171,true
34,lyr_00020,spa_00020,false
35,lyr_00064,spa_00064,false
36,lyr_00011,spa_00011,false
37,lyr_00015,spa_00015,false
38,lyr_00017,spa_00017,false
39,lyr_00042,spa_00042,false
40,lyr_00019,spa_00019,false
41,lyr_09444,spa_01172,true
42,lyr_00029,spa_00029,false
43,lyr_00037,spa_00037,false
44,lyr_00066,spa_00066,false
45,lyr_00099,spa_00099,false
46,lyr_00022,spa_00022,false
47,lyr_00034,spa_00034,false
48,lyr_06146,spa_07854,true
49,lyr_00094,spa_00094,false
50,lyr_00100,spa_00100,false
51,lyr_00006,spa_00006,false
52,lyr_00087,spa_00087,false
53,lyr_00069,spa_00069,false
54,lyr_00028,spa_00028,false
55,lyr_00036,spa_00036,false
56,lyr_00083,spa_00083,false
57,lyr_00027,spa_00027,false
58,lyr_00010,spa_00010,false
59,lyr_00023,spa_00023,false
60,lyr_09444,spa_00194,true
61,lyr_00060,spa_00060,false
62,lyr_02736,spa_08063,true
63,lyr_00057,spa_00057,false
64,lyr_10020,spa_09688,
65,lyr_09444,spa_00595,true
66,lyr_00053,spa_00053,false
67,lyr_00035,spa_00035,false
68,lyr_00047,spa_00047,false
69,lyr_00095,spa_00095,false
70,lyr_00073,spa_00073,false
71,lyr_00039,spa_00039,false
72,lyr_00024,spa_00024,false
73,lyr_00049,spa_00049,false
74,lyr_00005,spa_00005,false
75,lyr_00076,spa_00076,false
76,lyr_04442,spa_06645,true
77,lyr_09444,spa_00664,true
78,lyr_00085,spa_00085,false
79,lyr_00084,spa_00084,false
80,lyr_06144,spa_08168,true
81,lyr_00021,spa_00021,false
82,lyr_00092,spa_00092,false
83,lyr_00026,spa_00026,false
84,lyr_00096,spa_00096,false
85,lyr_00075,spa_00075,false
86,lyr_01205,spa_09816,true
87,lyr_00018,spa_00018,false
88,lyr_00058,spa_00058,false
89,lyr_00093,spa_00093,false
90,lyr_00063,spa_00063,false
91,lyr_00008,spa_00008,false
92,lyr_00045,spa_00045,false
93,lyr_00065,spa_00065,false
94,lyr_00038,spa_00038,false
95,lyr_00079,spa_00079,false
96,lyr_00062,spa_00062,false
97,lyr_00054,spa_00054,false
98,lyr_00059,spa_00059,false
99,lyr_09444,spa_00839,true
100,lyr_00007,spa_00007,false
101,lyr_09444,spa_00837,true
102,lyr_00056,spa_00056,false
103,lyr_00025,spa_00025,false
104,lyr_00088,spa_00088,false
105,lyr_00004,spa_00004,false
106,lyr_00074,spa_00074,false
107,lyr_00009,spa_00009,false
108,lyr_00068,spa_00068,false
109,lyr_00067,spa_00067,false
110,lyr_00030,spa_00030,false
111,lyr_00080,spa_00080,false
112,lyr_00061,spa_00061,false
113,lyr_00016,spa_00016,false
114,lyr_00002,spa_00002,false
115,lyr_00072,spa_00072,false
116,lyr_00078,spa_00078,false
117,lyr_02736,spa_08064,true
118,lyr_00081,spa_00081,false
119,lyr_00089,spa_00089,false
120,lyr_00041,spa_00041,false
121,lyr_00046,spa_00046,false
122,lyr_08212,spa_08763,true
123,lyr_00070,spa_00070,false
