id_x,id_y,TF
lyr_01952,spa_01952,False
lyr_02078,spa_02078,False
lyr_01138,spa_01138,False
lyr_11212,spa_08616,True
lyr_11217,spa_03507,True
lyr_02031,spa_02031,False
lyr_00932,spa_00932,False
lyr_01500,spa_01500,False
lyr_00708,spa_00708,False
lyr_09583,spa_05496,True
lyr_01494,spa_01494,False
lyr_01858,spa_01858,False
lyr_09457,spa_03507,True
lyr_00337,spa_00337,False
lyr_00641,spa_00641,False
lyr_09575,spa_04633,True
lyr_01957,spa_01957,False
lyr_09425,spa_06194,True
lyr_11188,spa_06738,True
lyr_11188,spa_02264,True
lyr_00472,spa_00472,False
lyr_00238,spa_00238,False
lyr_11209,spa_06060,True
lyr_11113,spa_08503,True
lyr_11275,spa_00267,True
lyr_02288,spa_02288,False
lyr_09576,spa_01423,True
lyr_00439,spa_00439,False
lyr_09940,spa_04505,True
lyr_09476,spa_06649,True
lyr_00760,spa_00760,False
lyr_00039,spa_00039,False
lyr_00549,spa_00549,False
lyr_02283,spa_02283,False
lyr_00261,spa_00261,False
lyr_09425,spa_05193,True
lyr_11274,spa_08218,True
lyr_00481,spa_00481,False
lyr_00278,spa_00278,False
lyr_00765,spa_00765,False
lyr_01979,spa_01979,False
lyr_09620,spa_07648,True
lyr_09946,spa_04633,True
lyr_01735,spa_01735,False
lyr_11188,spa_00554,True
lyr_02126,spa_02126,False
lyr_09623,spa_07922,True
lyr_01564,spa_01564,False
lyr_02089,spa_02089,False
lyr_11274,spa_01544,True
lyr_00685,spa_00685,False
lyr_09575,spa_03286,True
lyr_09499,spa_04121,True
lyr_11256,spa_03150,True
lyr_01334,spa_01334,False
lyr_09431,spa_03774,True
lyr_02122,spa_02122,False
lyr_11235,spa_02690,True
lyr_11193,spa_07620,True
lyr_09937,spa_06561,True
lyr_09463,spa_09990,True
lyr_09531,spa_01822,True
lyr_09947,spa_08608,True
lyr_09919,spa_03658,True
lyr_09467,spa_06738,True
lyr_00152,spa_00152,False
lyr_09547,spa_01989,True
lyr_11228,spa_05502,True
lyr_01787,spa_01787,False
lyr_02041,spa_02041,False
lyr_01029,spa_01029,False
lyr_00777,spa_00777,False
lyr_09619,spa_04490,True
lyr_00741,spa_00741,False
lyr_11274,spa_00267,True
lyr_00052,spa_00052,False
lyr_09597,spa_07629,True
lyr_11218,spa_04497,True
lyr_09547,spa_01253,True
lyr_09597,spa_05983,True
lyr_00903,spa_00903,False
lyr_01169,spa_01169,False
lyr_00916,spa_00916,False
lyr_00753,spa_00753,False
lyr_09539,spa_04121,True
lyr_01265,spa_01265,False
lyr_00779,spa_00779,False
lyr_01204,spa_01204,False
lyr_01911,spa_01911,False
lyr_00233,spa_00233,False
lyr_11286,spa_02264,True
lyr_09620,spa_00272,True
lyr_00911,spa_00911,False
lyr_01092,spa_01092,False
lyr_09425,spa_04122,True
lyr_09536,spa_09181,True
lyr_11193,spa_04633,True
lyr_11235,spa_00267,True
lyr_09933,spa_06650,True
lyr_02037,spa_02037,False
lyr_09452,spa_09994,True
lyr_09495,spa_02264,True
lyr_11209,spa_07620,True
lyr_00451,spa_00451,False
lyr_01982,spa_01982,False
lyr_01577,spa_01577,False
lyr_01778,spa_01778,False
lyr_09946,spa_03655,True
lyr_09930,spa_01981,True
lyr_11289,spa_07629,True
lyr_09436,spa_09129,True
lyr_09923,spa_01821,True
lyr_10979,spa_00588,True
lyr_00013,spa_00013,False
lyr_11196,spa_06597,True
lyr_00187,spa_00187,False
lyr_00283,spa_00283,False
lyr_01872,spa_01872,False
lyr_00302,spa_00302,False
lyr_00262,spa_00262,False
lyr_09597,spa_08610,True
lyr_00646,spa_00646,False
lyr_09450,spa_02264,True
lyr_00216,spa_00216,False
lyr_01874,spa_01874,False
lyr_00862,spa_00862,False
lyr_00270,spa_00270,False
lyr_01191,spa_01191,False
lyr_11279,spa_08609,True
lyr_00667,spa_00667,False
lyr_01609,spa_01609,False
lyr_09467,spa_07629,True
lyr_01490,spa_01490,False
lyr_00648,spa_00648,False
lyr_11275,spa_07014,True
lyr_00403,spa_00403,False
lyr_09576,spa_06194,True
lyr_09940,spa_04122,True
lyr_11218,spa_08190,True
lyr_09590,spa_03198,True
lyr_00623,spa_00623,False
lyr_01903,spa_01903,False
