id_x,id_y,TF
mil_0565,spa_01989,True
mil_1930,spa_04585,True
mil_0223,spa_07306,True
mil_0052,spa_05023,True
mil_0035,spa_04505,True
mil_1165,spa_08259,True
mil_0338,spa_00338,False
mil_3550,spa_00869,True
mil_0565,spa_06738,True
mil_0501,,False
mil_0132,spa_00132,False
mil_0432,spa_00432,False
mil_1255,spa_08013,True
mil_0124,spa_00124,False
mil_0103,spa_00103,False
mil_0071,spa_00071,False
mil_1255,spa_08214,True
mil_1928,spa_02527,True
mil_0288,spa_03198,True
mil_3830,spa_06058,True
mil_1255,spa_03316,True
mil_0438,spa_00438,False
mil_0483,spa_00483,False
mil_0565,spa_07654,True
mil_0565,spa_07010,True
mil_2584,spa_05501,True
mil_0109,spa_00109,False
mil_0824,spa_01301,True
mil_0240,spa_00240,False
mil_0894,spa_09972,True
mil_3645,spa_08238,True
mil_2458,spa_08426,True
mil_0235,spa_00235,False
mil_1872,spa_08705,True
mil_2035,spa_09186,True
mil_2716,spa_00661,True
mil_0013,spa_00013,False
mil_0116,spa_02689,True
mil_0287,spa_00287,False
mil_0271,spa_00271,False
mil_4075,spa_08700,True
mil_0337,spa_00337,False
mil_0565,spa_00554,True
mil_0308,spa_00308,False
mil_0339,spa_00339,False
mil_0145,spa_00145,False
mil_1928,spa_06115,True
mil_2932,spa_07435,True
mil_3532,spa_05541,True
mil_3645,spa_09524,True
mil_1928,spa_03716,True
mil_0151,spa_00151,False
mil_0122,spa_00122,False
mil_1341,spa_05994,True
mil_0035,spa_09828,True
mil_0616,spa_09606,True
mil_0035,spa_03123,True
mil_0154,spa_00154,False
mil_0157,spa_00157,False
mil_0477,spa_00477,False
mil_0209,spa_00209,False
mil_0437,spa_00437,False
mil_0035,spa_04632,True
mil_1051,spa_00748,True
mil_0358,spa_00358,False
mil_4580,spa_05166,True
mil_0401,spa_00401,False
mil_0486,spa_00486,False
mil_1928,spa_01456,True
mil_0469,spa_00469,False
mil_0296,spa_00296,False
mil_0355,spa_00355,False
mil_1851,spa_03774,True
mil_0280,spa_00280,False
mil_1255,spa_08190,True
mil_2823,spa_05464,True
mil_0129,spa_00129,False
mil_0330,spa_00330,False
mil_0035,spa_09339,True
mil_0215,spa_00215,False
mil_2551,spa_01053,True
mil_0064,spa_00064,False
mil_0082,spa_00082,False
mil_3140,spa_02867,True
mil_0480,spa_00480,False
mil_2672,spa_09211,True
mil_0403,spa_00403,False
mil_0144,spa_00144,False
mil_3858,spa_03711,True
mil_2838,spa_05351,True
mil_3802,spa_04438,True
mil_0206,spa_00206,False
mil_0251,spa_00251,False
mil_0565,spa_02685,True
mil_0468,spa_00468,False
mil_0028,spa_00028,False
mil_0762,spa_05658,True
mil_0121,spa_00121,False
mil_2240,spa_06077,True
mil_4094,spa_03219,True
mil_0217,spa_00217,False
mil_0413,spa_00413,False
mil_0914,spa_06293,True
mil_4141,spa_05045,True
mil_0052,spa_09992,True
mil_2417,spa_07632,True
mil_2732,spa_00659,True
mil_0288,spa_09990,True
mil_0222,spa_00222,False
mil_1963,spa_00265,True
mil_0487,spa_00487,False
mil_0914,spa_06294,True
mil_1650,spa_02880,True
mil_0248,spa_00248,False
mil_0762,spa_01212,True
mil_0493,spa_06764,True
mil_0452,spa_00452,False
mil_0035,spa_00026,True
mil_0088,spa_00088,False
mil_4629,spa_09624,True
mil_4736,spa_06846,True
mil_2561,spa_05628,True
mil_0021,spa_00021,False
mil_0236,spa_00236,False
mil_2088,spa_05289,True
mil_2601,spa_09200,True
mil_0375,spa_00375,False
mil_0498,spa_00498,False
mil_0500,spa_00500,False
mil_3293,spa_05461,True
mil_0470,spa_00470,False
mil_0565,spa_02264,True
mil_3509,spa_05914,True
mil_0418,spa_00418,False
mil_0426,spa_00426,False
mil_1751,spa_09797,True
mil_0321,spa_04301,True
mil_0080,spa_00080,False
mil_0425,spa_00425,False
mil_0369,spa_05677,True
mil_0505,,False
mil_0481,spa_00481,False
mil_0016,spa_00016,False
mil_1051,spa_00022,True
mil_0279,spa_00279,False
mil_2035,spa_09187,True
mil_0288,spa_07631,True
mil_0204,spa_00204,False
mil_0324,spa_00324,False
mil_0288,spa_08351,True
mil_1140,spa_01289,True
mil_0143,spa_00143,False
mil_0440,spa_00440,False
mil_1162,spa_03176,True
mil_0257,spa_00257,False
mil_2247,spa_05863,True
mil_4552,spa_09841,True
mil_0565,spa_01721,True
mil_2798,spa_01246,True
mil_0115,spa_00115,False
mil_0318,spa_00318,False
mil_0092,spa_00092,False
mil_0897,spa_02451,True
mil_2821,spa_05619,True
mil_0138,spa_00138,False
mil_0227,spa_00227,False
mil_1253,spa_08408,True
mil_0168,spa_00168,False
mil_0153,spa_00153,False
mil_0451,spa_00451,False
mil_0009,spa_09652,True
mil_0194,spa_00194,False
mil_0454,spa_00454,False
mil_0098,spa_00098,False
mil_2201,spa_00260,True
mil_0077,spa_00151,True
mil_0272,spa_00272,False
mil_0022,spa_08817,True
mil_0160,spa_00160,False
mil_0040,spa_00040,False
mil_0439,spa_00439,False
mil_0565,spa_06737,True
mil_1388,spa_00781,True
mil_3636,spa_04964,True
mil_3310,spa_05041,True
mil_0497,spa_00497,False
mil_0035,spa_02690,True
mil_0128,spa_00128,False
mil_3214,spa_01110,True
mil_0377,spa_00377,False
mil_0189,spa_00189,False
mil_0035,spa_06194,True
mil_0011,spa_00011,False
mil_1627,spa_01268,True
mil_0035,spa_03286,True
mil_0191,spa_00191,False
mil_0373,spa_00373,False
mil_1255,spa_03964,True
mil_0185,spa_00185,False
mil_0565,spa_08608,True
mil_0063,spa_00063,False
mil_0074,spa_00074,False
mil_0565,spa_03145,True
mil_0268,spa_09754,True
mil_0502,,False
mil_0347,spa_00347,False
mil_1839,spa_06051,True
mil_4518,spa_07822,True
mil_0254,spa_00254,False
mil_2240,spa_07662,True
mil_0506,,False
mil_0077,spa_00077,False
mil_0057,spa_00057,False
mil_0353,spa_00353,False
mil_2848,spa_01973,True
mil_0473,spa_00473,False
mil_0467,spa_00467,False
mil_0491,spa_00491,False
mil_0137,spa_00137,False
mil_2406,spa_09651,True
mil_4609,spa_00547,True
mil_3603,spa_06812,True
mil_1540,spa_05010,True
mil_0104,spa_00104,False
mil_3277,spa_00502,True
mil_0493,spa_07621,True
mil_4413,spa_07638,True
mil_0019,spa_00019,False
mil_0245,spa_00245,False
mil_0964,spa_08511,True
mil_0301,spa_00301,False
mil_0460,spa_00460,False
mil_0897,spa_08239,True
mil_2886,spa_09525,True
mil_0017,spa_00017,False
mil_0035,spa_01422,True
mil_0221,spa_00221,False
mil_2226,spa_05108,True
mil_1256,spa_07568,True
mil_0565,spa_06595,True
mil_1294,spa_04342,True
mil_3864,spa_05348,True
mil_0131,spa_00131,False
mil_0831,spa_02028,True
mil_0344,spa_00344,False
mil_0174,spa_00174,False
mil_1851,spa_05496,True
mil_0247,spa_00247,False
mil_0371,spa_00371,False
mil_2556,spa_01978,True
mil_0044,spa_00044,False
mil_2337,spa_01702,True
mil_0282,spa_00282,False
mil_0096,spa_00096,False
mil_0455,spa_00455,False
mil_0431,spa_00431,False
mil_2848,spa_01257,True
mil_4248,spa_05135,True
mil_0565,spa_01253,True
mil_0195,spa_00195,False
mil_3317,spa_04831,True
mil_0322,spa_00322,False
mil_0223,spa_00223,False
mil_0249,spa_00249,False
mil_0219,spa_00219,False
mil_0035,spa_07648,True
mil_0970,spa_06091,True
mil_0689,spa_04146,True
mil_0023,spa_00023,False
mil_4659,spa_02080,True
mil_1255,spa_04473,True
mil_1255,spa_01597,True
mil_0400,spa_00400,False
mil_1253,spa_00374,True
mil_0453,spa_00453,False
mil_1851,spa_05499,True
mil_0270,spa_00270,False
mil_0029,spa_00029,False
mil_0565,spa_00076,True
mil_0035,spa_00272,True
mil_1851,spa_08100,True
mil_1256,spa_01211,True
mil_1851,spa_06484,True
mil_0035,spa_00625,True
mil_2610,spa_09833,True
mil_1851,spa_03959,True
mil_0565,spa_09181,True
mil_0303,spa_00303,False
mil_0039,spa_00039,False
mil_0434,spa_00434,False
mil_0276,spa_04031,True
mil_0186,spa_00186,False
mil_1947,spa_03439,True
mil_0113,spa_00113,False
mil_3756,spa_04063,True
mil_3016,spa_07963,True
mil_0116,spa_05586,True
mil_0565,spa_03359,True
mil_0354,spa_00354,False
mil_0022,spa_09926,True
mil_0035,spa_03122,True
mil_0252,spa_00252,False
mil_1089,spa_06674,True
mil_2417,spa_06486,True
mil_0255,spa_00255,False
mil_0423,spa_00423,False
mil_0118,spa_00118,False
mil_2734,spa_03732,True
mil_0035,spa_04835,True
mil_2240,spa_04519,True
mil_0117,spa_02612,True
mil_1255,spa_07942,True
mil_0409,spa_00409,False
mil_1097,spa_01908,True
mil_0081,spa_00081,False
mil_0457,spa_00457,False
mil_0211,spa_00211,False
mil_4695,spa_05854,True
mil_2088,spa_05090,True
mil_3428,spa_01637,True
mil_0565,spa_04121,True
mil_0294,spa_00294,False
mil_0449,spa_00449,False
mil_4092,spa_00749,True
mil_2070,spa_01981,True
mil_0198,spa_00198,False
mil_0019,spa_05335,True
mil_0565,spa_05075,True
mil_0274,spa_00274,False
mil_0196,spa_00196,False
mil_4614,spa_03553,True
mil_0059,spa_00059,False
mil_0136,spa_00136,False
mil_0307,spa_00307,False
mil_2070,spa_01241,True
mil_2705,spa_06734,True
mil_0260,spa_00260,False
mil_2728,spa_03605,True
mil_0327,spa_00327,False
mil_0176,spa_00176,False
mil_0060,spa_00060,False
mil_0351,spa_00351,False
mil_0369,spa_01985,True
mil_0045,spa_00045,False
mil_0214,spa_00214,False
mil_4232,spa_09587,True
mil_2035,spa_07641,True
mil_0291,spa_00291,False
mil_3645,spa_04504,True
mil_3239,spa_08374,True
mil_4133,spa_04065,True
mil_1108,spa_04943,True
mil_1007,spa_06037,True
mil_0493,spa_00493,False
mil_1256,spa_04472,True
mil_0356,spa_00356,False
mil_0126,spa_00126,False
mil_3244,spa_02830,True
mil_0262,spa_00262,False
mil_0133,spa_00133,False
mil_0407,spa_00407,False
mil_1361,spa_06879,True
mil_0458,spa_00458,False
mil_0329,spa_00329,False
mil_1641,spa_05466,True
mil_0123,spa_00123,False
mil_0243,spa_00243,False
mil_0015,spa_06540,True
mil_0035,spa_06650,True
mil_2653,spa_03237,True
mil_2070,spa_08065,True
mil_0212,spa_00212,False
mil_2806,spa_02260,True
mil_0815,spa_08734,True
mil_0192,spa_00192,False
mil_0466,spa_00466,False
mil_1051,spa_06433,True
mil_0499,spa_00499,False
mil_1388,spa_06888,True
mil_1684,spa_04476,True
mil_0297,spa_00297,False
mil_0035,spa_03184,True
mil_2653,spa_06655,True
mil_0253,spa_00253,False
mil_1928,spa_03715,True
mil_4319,spa_03360,True
mil_0100,spa_00100,False
mil_0442,spa_00442,False
mil_2406,spa_02816,True
mil_2417,spa_01126,True
mil_0863,spa_03673,True
mil_4280,spa_09234,True
mil_0183,spa_00183,False
mil_0565,spa_05189,True
mil_0237,spa_00237,False
mil_0440,spa_04169,True
mil_0224,spa_00224,False
mil_0471,spa_00471,False
mil_1540,spa_03320,True
mil_0288,spa_01829,True
mil_0167,spa_00167,False
mil_0488,spa_00488,False
mil_1256,spa_00903,True
mil_1244,spa_09235,True
mil_0188,spa_00188,False
mil_0441,spa_00441,False
mil_1256,spa_09128,True
mil_0415,spa_00415,False
mil_0422,spa_00422,False
mil_0565,spa_08804,True
mil_0147,spa_00147,False
mil_0362,spa_00362,False
mil_0184,spa_00184,False
mil_2348,spa_06372,True
mil_0694,spa_08533,True
mil_0565,spa_08610,True
mil_2712,spa_07266,True
mil_0035,spa_03657,True
mil_2653,spa_02303,True
mil_0334,spa_00334,False
mil_0072,spa_00072,False
mil_0024,spa_00024,False
mil_0402,spa_00402,False
mil_4055,spa_00546,True
mil_0493,spa_04469,True
mil_0988,spa_07647,True
mil_2383,spa_08986,True
mil_0019,spa_03808,True
mil_0853,spa_06187,True
mil_1007,spa_07916,True
mil_0035,spa_01543,True
mil_1947,spa_08274,True
mil_4319,spa_04180,True
mil_4573,spa_02296,True
mil_0478,spa_00478,False
mil_0102,spa_00102,False
mil_0387,spa_00387,False
mil_0066,spa_00066,False
mil_0914,spa_06276,True
mil_0482,spa_00482,False
mil_0288,spa_04481,True
mil_0134,spa_00134,False
mil_1928,spa_04763,True
mil_0436,spa_00436,False
mil_1684,spa_00102,True
mil_0493,spa_09192,True
mil_2989,spa_03298,True
mil_0030,spa_04518,True
mil_3583,spa_06376,True
mil_2653,spa_06067,True
mil_0998,spa_09725,True
mil_0565,spa_07629,True
mil_0317,spa_00317,False
mil_1350,spa_03719,True
mil_0652,spa_03604,True
mil_0090,spa_00090,False
mil_0051,spa_00051,False
mil_0753,spa_08457,True
mil_2240,spa_07661,True
mil_4552,spa_09127,True
mil_0008,spa_00008,False
mil_0139,spa_00139,False
mil_2554,spa_00867,True
mil_2417,spa_00328,True
mil_0275,spa_00275,False
mil_0493,spa_09680,True
mil_0146,spa_00146,False
mil_0009,spa_04067,True
mil_0015,spa_00015,False
mil_0565,spa_01970,True
mil_0007,spa_00007,False
mil_2760,spa_00099,True
mil_0361,spa_00361,False
mil_0286,spa_00286,False
mil_0211,spa_02178,True
mil_0323,spa_00323,False
mil_4712,spa_00995,True
mil_1255,spa_04795,True
mil_0002,spa_00002,False
mil_0345,spa_00345,False
mil_1846,spa_00763,True
mil_1928,spa_06949,True
mil_0199,spa_00199,False
mil_0331,spa_00331,False
mil_0293,spa_00293,False
mil_0424,spa_00424,False
mil_0162,spa_00162,False
mil_0756,spa_03175,True
mil_0116,spa_00116,False
mil_0180,spa_00180,False
mil_1261,spa_07225,True
mil_0166,spa_00166,False
mil_0014,spa_00014,False
