"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-MusicSongGenreComparatorLevenshtein-record1Value","0-MusicSongGenreComparatorLevenshtein-record2Value","0-MusicSongGenreComparatorLevenshtein-record1PreprocessedValue","0-MusicSongGenreComparatorLevenshtein-record2PreprocessedValue","0-MusicSongGenreComparatorLevenshtein-similarity","0-MusicSongGenreComparatorLevenshtein-postproccesedSimilarity","1-MusicSongNameComparatorJaccard-record1Value","1-MusicSongNameComparatorJaccard-record2Value","1-MusicSongNameComparatorJaccard-record1PreprocessedValue","1-MusicSongNameComparatorJaccard-record2PreprocessedValue","1-MusicSongNameComparatorJaccard-similarity","1-MusicSongNameComparatorJaccard-postproccesedSimilarity"
"LinearCombinationMatchingRule","lyr_08704","mil_2005","0.0",,"Rock","Hip Hop","Rock","Hip Hop","0.0","0.0","Intro","Interlude","Intro","Interlude","0.0","0.0"
"LinearCombinationMatchingRule","lyr_13741","mil_3750","0.04545454545454547",,"Rock","Funk / Soul","Rock","Funk / Soul","0.09090909090909094","0.09090909090909094","Heroes","Heartache","Heroes","Heartache","0.0","0.0"
"LinearCombinationMatchingRule","lyr_12008","mil_2175","0.4285714285714286",,"Hip-Hop","Hip Hop","Hip-Hop","Hip Hop","0.8571428571428572","0.8571428571428572","Im Back","Im Back","Im Back","Im Back","1.0","0.0"
"LinearCombinationMatchingRule","lyr_11220","mil_2375","0.04999999999999999",,"Rock","Folk, World, Country","Rock","Folk, World, Country","0.09999999999999998","0.09999999999999998","Magic","Marica","Magic","Marica","0.0","0.0"
"LinearCombinationMatchingRule","lyr_10727","mil_1711","0.04545454545454547",,"Rock","Funk / Soul","Rock","Funk / Soul","0.09090909090909094","0.09090909090909094","Meathook","Melody","Meathook","Melody","0.0","0.0"
"LinearCombinationMatchingRule","lyr_10069","mil_2165","0.04545454545454547",,"Rock","Funk / Soul","Rock","Funk / Soul","0.09090909090909094","0.09090909090909094","Granny","Greenfields","Granny","Greenfields","0.0","0.0"
"LinearCombinationMatchingRule","lyr_09257","mil_4222","0.04999999999999999",,"Rock","Folk, World, Country","Rock","Folk, World, Country","0.09999999999999998","0.09999999999999998","Marianne","Mailk","Marianne","Mailk","0.0","0.0"
"LinearCombinationMatchingRule","lyr_04552","mil_3304","0.04545454545454547",,"Rock","Funk / Soul","Rock","Funk / Soul","0.09090909090909094","0.09090909090909094","Freedom","Freedom","Freedom","Freedom","1.0","0.0"
"LinearCombinationMatchingRule","lyr_02032","mil_3323","0.04545454545454547",,"Pop","Funk / Soul","Pop","Funk / Soul","0.09090909090909094","0.09090909090909094","Adrian","Addicted","Adrian","Addicted","0.0","0.0"
"LinearCombinationMatchingRule","lyr_07218","mil_1436","0.06521739130434784",,"R & B","Electronic, Funk / Soul","R & B","Electronic, Funk / Soul","0.13043478260869568","0.13043478260869568","Good To Me As I Am To You","Going To Mexico","Good To Me As I Am To You","Going To Mexico","0.1111111111111111","0.0"
"LinearCombinationMatchingRule","lyr_13470","mil_2315","0.04999999999999999",,"Rock","Hip Hop, Funk / Soul","Rock","Hip Hop, Funk / Soul","0.09999999999999998","0.09999999999999998","I Wanna Touch U","I Want To Be Around","I Wanna Touch U","I Want To Be Around","0.125","0.0"
