id_x,id_y,TF
lyr_04670,spa_04670,False
lyr_10896,spa_09680,True
lyr_06410,spa_07922,True
lyr_10723,spa_03359,True
lyr_02487,spa_06302,True
lyr_09025,spa_07630,True
lyr_06778,spa_06778,False
lyr_04190,spa_00705,True
lyr_08735,spa_08735,False
lyr_02550,spa_04743,True
lyr_06211,spa_01972,True
lyr_04945,spa_04945,False
lyr_00042,spa_00042,False
lyr_07066,spa_07066,False
lyr_09010,spa_08191,True
lyr_01553,spa_01553,False
lyr_04546,spa_04546,False
lyr_05511,spa_05511,False
lyr_02593,spa_02593,False
lyr_06697,spa_06697,False
lyr_07052,spa_07052,False
lyr_09467,spa_01822,True
lyr_10907,spa_00554,True
lyr_00289,spa_00289,False
lyr_10901,spa_04121,True
lyr_10511,spa_04188,True
lyr_09586,spa_04498,True
lyr_03837,spa_09013,True
lyr_11275,spa_05098,True
lyr_06330,spa_06330,False
lyr_05272,spa_05272,False
lyr_10680,spa_03286,True
lyr_00257,spa_07701,True
lyr_10973,spa_08503,True
lyr_03833,spa_03833,False
lyr_06244,spa_06244,False
lyr_08837,spa_08837,False
lyr_09440,spa_02830,True
lyr_05173,spa_05173,False
lyr_09946,spa_08191,True
lyr_10570,spa_02525,True
lyr_01067,spa_01067,False
lyr_01081,spa_01081,False
lyr_08112,spa_08112,False
lyr_02360,spa_01491,True
lyr_06354,spa_05583,True
lyr_10723,spa_01253,True
lyr_09495,spa_06766,True
lyr_04328,spa_04328,False
lyr_08708,spa_08708,False
lyr_00238,spa_00238,False
lyr_02994,spa_03176,True
lyr_04314,spa_04314,False
lyr_07890,spa_07890,False
lyr_07892,spa_07892,False
lyr_02201,spa_09442,True
lyr_08927,spa_04490,True
lyr_06410,spa_01822,True
lyr_04403,spa_07447,True
lyr_02300,spa_06300,True
lyr_02222,spa_02222,False
lyr_09536,spa_01721,True
lyr_04750,spa_04750,False
lyr_10908,spa_01970,True
lyr_00177,spa_00177,False
lyr_12952,spa_02521,True
lyr_03937,spa_03937,False
lyr_01293,spa_01293,False
lyr_04677,spa_04677,False
lyr_05478,spa_05478,False
lyr_11238,spa_08946,True
lyr_03824,spa_00949,True
lyr_09004,spa_05983,True
lyr_04631,spa_08869,True
lyr_12129,spa_03320,True
lyr_09938,spa_03657,True
lyr_06970,spa_06970,False
lyr_01742,spa_01742,False
lyr_06326,spa_05949,True
lyr_06410,spa_07630,True
lyr_02195,spa_02195,False
lyr_06263,spa_01822,True
lyr_07525,spa_07525,False
lyr_01549,spa_01014,True
lyr_02511,spa_09443,True
lyr_02648,spa_02648,False
lyr_08941,spa_07629,True
lyr_09576,spa_03655,True
lyr_06166,spa_06166,False
lyr_11286,spa_06738,True
lyr_08377,spa_08377,False
lyr_01854,spa_01854,False
lyr_00415,spa_03717,True
lyr_09933,spa_07649,True
lyr_06335,spa_01213,True
lyr_00781,spa_00781,False
lyr_09450,spa_05459,True
lyr_11209,spa_03122,True
lyr_09425,spa_00625,True
lyr_11193,spa_03123,True
lyr_06226,spa_01721,True
lyr_02455,spa_09442,True
lyr_10685,spa_02842,True
lyr_08979,spa_05658,True
lyr_05877,spa_01471,True
lyr_07786,spa_07786,False
lyr_02192,spa_04746,True
lyr_09527,spa_00554,True
lyr_02527,spa_02527,False
lyr_09516,spa_09188,True
lyr_06177,spa_07649,True
lyr_08840,spa_08840,False
lyr_05756,spa_05756,False
lyr_08927,spa_01252,True
lyr_00413,spa_00413,False
lyr_06409,spa_07630,True
lyr_09009,spa_07922,True
lyr_10736,spa_07629,True
lyr_00510,spa_03006,True
lyr_07199,spa_07199,False
lyr_08923,spa_07620,True
lyr_11118,spa_07815,True
lyr_04005,spa_04005,False
lyr_03574,spa_03574,False
lyr_12198,spa_05010,True
lyr_10927,spa_07019,True
lyr_03582,spa_03582,False
lyr_02888,spa_02888,False
lyr_12408,spa_04267,True
lyr_05644,spa_05644,False
lyr_10699,spa_06766,True
lyr_05877,spa_04735,True
lyr_10841,spa_09021,True
lyr_12551,spa_06356,True
lyr_08820,spa_08820,False
lyr_04529,spa_05866,True
lyr_05235,spa_05235,False
lyr_00464,spa_00464,False
lyr_03188,spa_03980,True
lyr_09547,spa_10000,True
lyr_07350,spa_06628,True
lyr_05940,spa_05940,False
lyr_01504,spa_01504,False
lyr_03727,spa_03727,False
lyr_00441,spa_06115,True
lyr_02378,spa_03070,True
lyr_10914,spa_03421,True
lyr_09607,spa_02687,True
lyr_05696,spa_05696,False
lyr_06205,spa_07654,True
lyr_09547,spa_05459,True
lyr_03792,spa_03792,False
lyr_00944,spa_00944,False
lyr_08972,spa_08972,False
lyr_02545,spa_02545,False
lyr_05229,spa_05229,False
