,Unnamed: 0,id_x,id_y,TF
240,240,lyr_09940,mil_3125,True
1021,1021,lyr_09536,mil_3079,True
626,626,lyr_00466,mil_0466,False
688,688,lyr_00220,mil_0220,False
687,687,lyr_09495,mil_0626,True
605,605,lyr_11211,mil_2669,True
1400,1400,lyr_00224,mil_0224,False
344,344,lyr_09467,mil_3110,True
1202,1202,lyr_11242,mil_2669,True
441,441,lyr_09531,mil_3110,True
1492,1492,lyr_00119,mil_0119,False
598,598,lyr_11218,mil_3043,True
904,904,lyr_00239,mil_0239,False
1208,1208,lyr_11190,mil_0493,True
1180,1180,lyr_00165,mil_0165,False
517,517,lyr_00233,mil_0233,False
854,854,lyr_09545,mil_1516,True
697,697,lyr_09452,mil_2643,True
815,815,lyr_00467,mil_0467,False
639,639,lyr_00002,mil_0002,False
759,759,lyr_00148,mil_0148,False
1377,1377,lyr_11193,mil_4448,True
1112,1112,lyr_09941,mil_1963,True
593,593,lyr_00034,mil_0034,False
877,877,lyr_00209,mil_0209,False
835,835,lyr_11274,mil_2239,True
742,742,lyr_00114,mil_0114,False
103,103,lyr_09575,mil_0035,True
234,234,lyr_00130,mil_0130,False
1562,1562,lyr_00221,mil_0221,False
458,458,lyr_00077,mil_0077,False
846,846,lyr_00447,mil_0447,False
1316,1316,lyr_09498,mil_2705,True
347,347,lyr_09499,mil_1672,True
8,8,lyr_09469,mil_2669,True
1050,1050,lyr_00313,mil_0313,False
1049,1049,lyr_11235,mil_0674,True
215,215,lyr_09452,mil_2694,True
141,141,lyr_00013,mil_0013,False
920,920,lyr_00094,mil_0094,False
1081,1081,lyr_00042,mil_0042,False
111,111,lyr_00312,mil_0312,False
1227,1227,lyr_09481,mil_3801,True
782,782,lyr_09526,mil_3341,True
1004,1004,lyr_09539,mil_1516,True
827,827,lyr_09853,mil_3291,True
255,255,lyr_00033,mil_0033,False
324,324,lyr_09576,mil_3125,True
197,197,lyr_00369,mil_0369,False
1147,1147,lyr_09910,mil_3291,True
1523,1523,lyr_09467,mil_4436,True
809,809,lyr_09623,mil_1192,True
1351,1351,lyr_11279,mil_2069,True
961,961,lyr_09821,mil_3291,True
