"Blocking Key Value","Frequency"
"LI,ILOYO","60"
"NE","56"
"GIITUP","55"
"JA","54"
"DO","52"
"SL","48"
"VO","45"
"KI,TI","42"
"JO,NI,PL,VI,HECOTH","40"
"FL,NO,TH,IWAYO","36"
"BA","250"
"LE,RI,INEYO","32"
"FR","238"
"FE,LU,PE,PU","30"
"LO","216"
"BI,GU,HI,IM,YOREGO","28"
"TO","210"
"EV,IWABE","27"
"CH","203"
"EN","25"
"CR,HE","198"
"EL,FI,FO,GI,HU,JE,TE,CAINTH","24"
"FA","192"
"UN","189"
"BR","176"
"CA","171"
"RE","442"
"DE","414"
"ST","377"
"SH","338"
"IN","336"
"SU","325"
"CO","324"
"MA","308"
"SO","276"
"PA","252"
"THBAOF","22"
"ASLOAS","21"
"AD,CI,SK","20"
"WI,IBE","18"
"HA","170"
"BLINTH,19,GL,MU,TA,ROANRO,IFYOGO,RONRO,HOON,IKNYO","16"
"TR","168"
"YOGOTO,WAINTH","15"
"HO","162"
"THWA,RU,YO,YOMAME,IJUWA,BLMO,CLTOYO","14"
"MI,MO","154"
"STINTH,THRI,DU,GA,JU,KA,LANI,OR,SN,WO,LOOFTH,WETOTH,HEIAM,REME,STONTH,IFIWE,KNONHE,GOBA,IWII","12"
"ME","144"
"IMSO","11"
"CL,RA,SE","143"
"AF,AR,SOINTH,QU,SM,YOGOME,IFYOWA,TEMEWH,FLMETO,LOISA","10"
"AL,BE,DA","140"
"DR","126"
"AN","115"
"DI","114"
"GE,NA,SHST,JUALI,ENOFTH","9"
"HAONTO,THYOFO,THLE,THMA,EM,EX,SC,TU,JULIA,YOANI,WHCH,OUOFTH,IAMA,SOSO,LEMEBE,GOHO,RORO,SOOFA","8"
"FU,IMYO,WIWO,HAYOEV,INTHBA","7"
"STOU,ONTHRO,THCO,IHEA,THCH,HEJO,THMO,THTO,LADA,OV,LAMA,BRONTH,LEITBE,ONINA,CAOFTH,IFETH,IFYONE,DOONTH,MIMA,WHARYO,INSU,NELEME,IGOTO,LIWI,WIYO,ALTHYO,WHAFR,INELO,IWOWH,ONOFTH,HATI,THGOMY,BABA,CHOFTH,ITHIT,DATHNI,LOSO","6"
"LA","112"
"WAFOTH,IBEIN,CU,TAMETO,DOYOWA,MYNAIS,BAOFA,MYLI,IMTH,ALINE,COCO,THTITH,CAME,DEVU,THWAI,MABA,BAIN","5"
"BL,GR","110"
"EAINTH,FOME,WHDOI,TAMEBA,YOARMY,HEHE,HEGI,THLI,HEHO,LOOUFO,THPR,THRO,ONWAOR,THSC,SESE,AC,AT,UPONTH,CE,EA,EU,HY,JI,MR,OU,PH,SY,WASI,FOALWE,YOSEME,SOTOTH,BESO,OUINTH,BOTORU,THFICU,SHBU,GIGIGI,MYBA,DAINTH,ONSH,COOFTH,MIMI,MAOFTH,MIYO,TAYOTI,ITTAA,WIYOWE,ALIWA,LOATYO,BLCO,BLCH,LOINTH,LIST,IGOTH,THWAIS,EAOFTH,TRLO,HOLO,BYBYBA,FORUIN,WHAMI,ALTHTI,SWLIRO,MOMA,MOMO,BLITON,GIALI,INTHSU,BABO,REOFTH,RAONMY,MATO,COONIN,WHCAI","4"
"RO","104"
"ITMUBE,THCOOF,IHAA,LAOFHO,THBE,THFA,ACHIS,COBATO,BUBE,THVI,HETO,AG,AS,THWI,THWO,IONWA,EC,LACH,KO,EMYO,OP,PS,TW,DOYOKN,WE,ZA,BEDA,SEMEFR,CHRE,HI61RE,UNME,ALORNO,REMA,IMIYO,SIONTH,SIONTO,WHGEYO,HOOFTH,SITH,LEGO,IFYOCA,BIBO,IMWA,IJUDO,BAINTH,IRE,DOBYTH,ARYOLO,RIOFFI,CRINTH,SOKIOF,NOCO,COHO,LIBO,TRTOGE,WHHAAL,EVKN,THMUBE,SATHLA,BEBOAN,SOBA,HOHO,SOLO,TAITBA,ALAL,THISTH,SUONTH,ALTO,AMGR,TIAFTI,WAONWA,INTHST,SIOFTH,SAMA,CAYOFE,TAACH,IFOTH,LODA,NOMONO,LOHE,MAMA,MAMI,MAONTH,GEONTH,WOTO","3"
"SI,SP","98"
"WHINTH,STST,STTA,WEUSTO,NEMO,IREDO,YOBETO,SUDA,ALOVYO,GRHA,ELBU,WATHDE,NOWADE,DIBO,SUST,THWIBE,FOSO,DISO,LOISLO,YOARTH,YOARSO,WATHWA,HEFA,THGR,HEGO,SEGA,THJO,THHU,FUMOAN,THKI,THMI,JUONSM,THTI,THSU,AU,UNTHSU,ET,GY,TRLOWA,IF,IS,NOMAWH,DEINTH,NU,OD,SWDR,ON,DOYORE,ROROBA,VA,VE,LAST,WAUP,YE,DAOFWI,ZE,SAYOLO,THDATH,FUHOTI,GOTOSL,THWIOF,HECAON,WHWEYO,ONFOTH,WHWOI,MEMEIN,NESOTO,MEMA,EVISGO,OVTHRA,FAAN,FAAW,FOOFLO,PIINTH,SLTITI,YOLOGO,UNLO,YOLOIS,YOMALO,YOGOIT,WHIFI,MYDE,HECOMY,IFEYO,MYLO,WHDIYO,IMBA,MYWO,POTOTH,MIGA,PAPA,PATI,INDA,ITR,MISP,IWO,INME,ALICA,FAOUOF,LOTHWA,BOANSO,TOBL,SLAW,SHONYO,ICABE,TOLA,WIYOST,ROMEMY,ICAHE,THSTTH,OLJORO,WETHKI,THLOYO,WHKN,GRBAOF,BIPLII,RIINTH,IFILO,DABO,TEMEHO,BLAW,IFIWA,COME,LIGI,NORE,LOATTH,SOOFLO,COTO,DOTHBE,ROABY,LOINVA,YOKEME,LIUP,IGOYO,WADOTH,SHHAA,TEMETO,EVWO,FAINLO,HOBO,PIOFYO,TRLI,TAITLI,DAONTH,WIALI,MIASWE,HOTO,HOTOWO,OUWOBL,NETOYO,SPHA,PRFORA,LOYOIS,MEANBO,MODE,CAJA,CAMA,WHAWO,MOLA,CARA,ALSO,EYOFTH,WAONBY,DEBL,INTHNA,INTHBL,DEMA,THDEOF,INTHGH,TUAR,BUDOTH,ISTHA,ROAW,HADA,SAAW,ILOTH,GOAN,AMTR,ALNILO,ITHYO,HAMO,SANI,JUBEYO,ROST,WHYOWI,MAINTH,MOTHA,WHDII,TEME,KIMESO,BRBL,THMAWH,KNONWO,BRDI,LOAN,THWOIS,ALSHUP,MACO,MADA,ONMONI,STOFTH,STBE,BAANCH,STBA,TATOME,STBR,MAOV,LOLO,STAW,TRALI,MASA,TWHE,MARO,BAST,RIONTH,TWLO,STMA,STLI,ROMEBA","2"
"PO","88"
"NEDA,FROFMI,WOOFMA,WOOFLO,STTH,YOBEIN,NOTHON,ONWHI,BETHNI,GIITTO,OHSH,NEPO,WHTODO,THRICO,NETH,THGICA,GRDA,RABL,HUHA,HUHE,HEANSO,RUTOYO,ISHTH,PLCA,FOHE,ORBLSP,SUSO,UNANSA,GRPA,SUTR,HUUP,THWHI,THYOHA,CROFLO,SUWA,RASA,BATOBL,GRSH,CRANCL,RASI,HAVAPT,ONTIWI,NOTITO,TONEKN,WATHSU,THBL,DIRO,SLINTH,OHMYGO,HEBO,INMYPL,ONWATI,THGA,STTOTH,THDABE,SEGU,THNA,THPA,THPE,INMYHE,THSP,BUBU,BUBO,AQ,DOWHYO,LABA,WAOFTH,ILEMY,THYO,HEYE,VOCH,ID,WHMYBA,PLMYTI,UNTHIN,UNTHIC,OO,KOKO,SWEM,WAPI,DOYOLO,DRTOFA,GOTOTH,GEMETO,TIMO,SWLE,THWIME,WAWH,CHAR,SWSE,CHCL,GOTOME,CHCH,BEIME,BEBO,SWSW,SWTH,SHTHDO,BEDE,NOPLLI,ABBE,SOTOSA,BEFR,THISFO,ENSA,MEME,BOINTH,LIFOYO,PEOFMI,LITHBL,TOMUMO,BERE,FOANFO,SOTOBE,FAFA,FAFI,TOTHSK,OLFR,THHOHO,LOOFLO,ATCI,POME,GUWH,CIMA,FAST,UNAT,YOMABE,WAOUWE,WHITH,CIST,LOTHON,ANANAN,LEITDO,GIYOMY,WIOFAN,SHMA,THNITH,CHMYCH,COOUMY,ALETO,SHON,TEAVFR,JO99,ALDAAN,SWMUMA,LIRERO,RERE,RESO,SEITOF,KACI,MYLADA,HELIRI,REWH,YOGOLO,GOGEYO,SAOLSO,WAOVYO,BRNECA,SOSETO,ONDA,THRESL,RETOBE,LEBA,ANOFTH,WAOFLI,INYORO,YOTEME,SOMULO,MYGI,DRINMY,THSHYO,LIQUOF,ILITH,ALCAAR,MYPL,AVMA,ILITO,WHTHDE,IMEV,KIOUTH,MYBALO,MASAA,DAWIA,PABA,FIOUWH,LIONYO,THONWA,ICA,DODA,DODO,HOOFCA,BIBR,MYMASA,COANGE,SHOUTH,IJUGO,GOGEBA,STONIT,RIITUP,AFFO,MIHI,CLMO,PRTO,PRSA,ANFOYO,LEITRO,ISU,PRWO,MOMOMO,ALIIN,THLOI,BIST,CRCRCR,MIWI,BEOFYO,CHAWTH,THGHOF,FEFA,OMYSO,RUDOTH,OBFIBE,DAWIME,NOONCA,ALCROU,THMAI,CALOST,IWIFO,ILIFO,HOITNO,BLONTH,GHTR,JAAS,JACA,ITCOBE,THRACA,THHUGE,RIBYYO,JAJI,AGOR,STSTWI,GOPUA,GIDA,INACO,ICADO,ALONMY,POOFNO,HAAHE,THNETI,LOONKN,THNEST,HOOUFO,TOTI,ICAMA,RIRA,RIRI,IALLO,USCA,THTWOF,THSTSP,HAOFDO,HEFUOF,KEKA,IFICO,SHINLO,KEON,THSELI,TOBEA,LIINPA,SMJA,SITHAN,WHWO,NOAC,COBA,IPUA,ONFIDA,COET,BLBR,SEYOFR,PAARU,DAGL,DAHO,COHI,DRLO,DAMO,MOOFAL,BLJE,NONE,KIOFFI,LIFO,LOATME,NOMA,WIHE,BLMI,AHOIN,BRITBA,NOTO,LILO,BLRO,COWA,BLST,BLSK,COWO,IHANO,SNFE,FOONIN,MOTHJU,THWAYO,RUTHRE,OOLALA,COIHA,SOMAWA,PEJE,NELOA,PEPR,HIDEHO,DAAFDA,UPANDO,MOFOMO,JUFR,HOCO,HOBL,SODI,HUUPON,HOFA,SOHO,IRMA,WAINVA,SOKI,WHHAYO,TRME,BEWIYO,SOMA,FIHE,YOTOME,TAITAS,SOSU,HORO,SOTI,TAITEA,57CH,HEMESO,ISAA,GIMEAN,SHYOLO,ITCAOU,SPCA,SPAR,SPCH,ISAHE,CRBA,CRCO,OUHO,HEMEMA,WIWEEN,CADO,ALAB,LIISWH,CAGI,WHISMY,CRLO,CRLI,CRMA,BEMYLO,MOIT,MOLO,MOLI,ALLA,SWLIYO,MORI,MYLIIS,MIONTH,THISMY,ALTH,MOWO,WEOFHE,ILOAT,THSADE,INTHNI,BAILO,NEYOCI,WEGOTH,WHITIS,AMBE,DELA,AWOOF,INTHFI,DENI,TUAW,TAMYLO,INTHPO,HAEN,GODI,FLAW,SOLIYO,HAHO,SWSOMU,YOGEWH,BUYOKN,WHYOBE,ALATON,TUTW,SIANGO,ANAN,WHYONE,FLRE,GOSQ,LOISHE,SAYO,SPMYLA,CAYOHE,WHNOMY,FOFOYO,ALFADO,ANME,WHYOSA,HATOMO,ANTI,RUOFTH,BETOHA,TEPI,FIONTH,ARTHWO,THLOOF,EVWOIF,STLOBL,THLOTH,STBRDO,LOCH,LOCO,BRFI,WOBO,TATOTH,WOAP,ITHAB,LOFI,IKNIT,BECLDO,GEONYO,PRANJO,THLOAN,BALU,SHUPAN,WOIT,STCA,STAG,BAPA,STCO,ONMOTR,AWH,STIN,TOSIWI,WAONA,OHCA","1"
"WA","84"
"GO","81"
"PR","80"
"SA","78"
"BO","77"
"AM,BU","72"
"PI","70"
"IWATO","68"
"WH","63"
