"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-MusicSongNameComparatorLevenshtein-record1Value","0-MusicSongNameComparatorLevenshtein-record2Value","0-MusicSongNameComparatorLevenshtein-record1PreprocessedValue","0-MusicSongNameComparatorLevenshtein-record2PreprocessedValue","0-MusicSongNameComparatorLevenshtein-similarity","0-MusicSongNameComparatorLevenshtein-postproccesedSimilarity","1-MusicSongNameComparatorJaccard-record1Value","1-MusicSongNameComparatorJaccard-record2Value","1-MusicSongNameComparatorJaccard-record1PreprocessedValue","1-MusicSongNameComparatorJaccard-record2PreprocessedValue","1-MusicSongNameComparatorJaccard-similarity","1-MusicSongNameComparatorJaccard-postproccesedSimilarity"
"LinearCombinationMatchingRule","lyr_00597","mil_2009","0.1285714285714286",,"I Go To Extremes","I Got To Find My Baby","I Go To Extremes","I Got To Find My Baby","0.4285714285714286","0.4285714285714286","I Go To Extremes","I Got To Find My Baby","I Go To Extremes","I Got To Find My Baby","0.25","0.0"
"LinearCombinationMatchingRule","lyr_03171","mil_3532","0.059999999999999984",,"Crossroads","Cry","Crossroads","Cry","0.19999999999999996","0.19999999999999996","Crossroads","Cry","Crossroads","Cry","0.0","0.0"
"LinearCombinationMatchingRule","lyr_08704","mil_2005","0.13333333333333333",,"Intro","Interlude","Intro","Interlude","0.4444444444444444","0.4444444444444444","Intro","Interlude","Intro","Interlude","0.0","0.0"
"LinearCombinationMatchingRule","lyr_03606","mil_3694","0.1909090909090909",,"New York City Serenade","New York City Cops","New York City Serenade","New York City Cops","0.6363636363636364","0.6363636363636364","New York City Serenade","New York City Cops","New York City Serenade","New York City Cops","0.6","0.0"
"LinearCombinationMatchingRule","lyr_13422","mil_2894","0.075",,"Disintegrate","Dinosaurs","Disintegrate","Dinosaurs","0.25","0.25","Disintegrate","Dinosaurs","Disintegrate","Dinosaurs","0.0","0.0"
"LinearCombinationMatchingRule","lyr_03705","mil_1678","0.0857142857142857",,"Revenge","Rehab","Revenge","Rehab","0.2857142857142857","0.2857142857142857","Revenge","Rehab","Revenge","Rehab","0.0","0.0"
"LinearCombinationMatchingRule","lyr_00586","mil_0312","0.13333333333333333",,"Leningrad","Learning","Leningrad","Learning","0.4444444444444444","0.4444444444444444","Leningrad","Learning","Leningrad","Learning","0.0","0.0"
"LinearCombinationMatchingRule","lyr_05942","mil_3950","0.1285714285714286",,"Lullaby","Luha","Lullaby","Luha","0.4285714285714286","0.4285714285714286","Lullaby","Luha","Lullaby","Luha","0.0","0.0"
"LinearCombinationMatchingRule","lyr_11287","mil_3505","0.1714285714285714",,"Lucille","Lucifer","Lucille","Lucifer","0.5714285714285714","0.5714285714285714","Lucille","Lucifer","Lucille","Lucifer","0.0","0.0"
"LinearCombinationMatchingRule","lyr_03165","mil_1843","0.075",,"Magnolia","Mary","Magnolia","Mary","0.25","0.25","Magnolia","Mary","Magnolia","Mary","0.0","0.0"
"LinearCombinationMatchingRule","lyr_02533","mil_0679","0.1875",,"Faithful","Faith","Faithful","Faith","0.625","0.625","Faithful","Faith","Faithful","Faith","0.0","0.0"
"LinearCombinationMatchingRule","lyr_08148","mil_2894","0.06666666666666667",,"Dixie","Dinosaurs","Dixie","Dinosaurs","0.2222222222222222","0.2222222222222222","Dixie","Dinosaurs","Dixie","Dinosaurs","0.0","0.0"
"LinearCombinationMatchingRule","lyr_03509","mil_2783","0.12",,"Seeds","Selma","Seeds","Selma","0.4","0.4","Seeds","Selma","Seeds","Selma","0.0","0.0"
"LinearCombinationMatchingRule","lyr_00323","mil_0059","0.1",,"Badge","Bangcrazy","Badge","Bangcrazy","0.33333333333333337","0.33333333333333337","Badge","Bangcrazy","Badge","Bangcrazy","0.0","0.0"
"LinearCombinationMatchingRule","lyr_00499","mil_2110","0.1",,"Souvenir","Sometimes","Souvenir","Sometimes","0.33333333333333337","0.33333333333333337","Souvenir","Sometimes","Souvenir","Sometimes","0.0","0.0"
"LinearCombinationMatchingRule","lyr_08912","mil_4225","0.059999999999999984",,"Bankrobber","Batman","Bankrobber","Batman","0.19999999999999996","0.19999999999999996","Bankrobber","Batman","Bankrobber","Batman","0.0","0.0"
"LinearCombinationMatchingRule","lyr_13040","mil_0391","0.0857142857142857",,"Chango","Cherish","Chango","Cherish","0.2857142857142857","0.2857142857142857","Chango","Cherish","Chango","Cherish","0.0","0.0"
"LinearCombinationMatchingRule","lyr_12880","mil_0460","0.0818181818181818",,"Mellow","Memorabilia","Mellow","Memorabilia","0.2727272727272727","0.2727272727272727","Mellow","Memorabilia","Mellow","Memorabilia","0.0","0.0"
"LinearCombinationMatchingRule","lyr_10504","mil_2587","0.09599999999999999",,"When Did I Stop Dreaming","Why Didnt I Think Of That","When Did I Stop Dreaming","Why Didnt I Think Of That","0.31999999999999995","0.31999999999999995","When Did I Stop Dreaming","Why Didnt I Think Of That","When Did I Stop Dreaming","Why Didnt I Think Of That","0.1","0.0"
"LinearCombinationMatchingRule","lyr_13310","mil_1089","0.18",,"Shine","She","Shine","She","0.6","0.6","Shine","She","Shine","She","0.0","0.0"
"LinearCombinationMatchingRule","lyr_13087","mil_2709","0.075",,"Dawghaus","Dazz","Dawghaus","Dazz","0.25","0.25","Dawghaus","Dazz","Dawghaus","Dazz","0.0","0.0"
"LinearCombinationMatchingRule","lyr_00038","mil_1871","0.13333333333333333",,"Afterlife","Africa","Afterlife","Africa","0.4444444444444444","0.4444444444444444","Afterlife","Africa","Afterlife","Africa","0.0","0.0"
"LinearCombinationMatchingRule","lyr_02944","mil_4379","0.075",,"Cryin","Crusader","Cryin","Crusader","0.25","0.25","Cryin","Crusader","Cryin","Crusader","0.0","0.0"
"LinearCombinationMatchingRule","lyr_05711","mil_3126","0.059999999999999984",,"Maybellene","Marija","Maybellene","Marija","0.19999999999999996","0.19999999999999996","Maybellene","Marija","Maybellene","Marija","0.0","0.0"
"LinearCombinationMatchingRule","lyr_10226","mil_4612","0.075",,"Dissolve","Dirlija","Dissolve","Dirlija","0.25","0.25","Dissolve","Dirlija","Dissolve","Dirlija","0.0","0.0"
"LinearCombinationMatchingRule","lyr_12628","mil_0425","0.0857142857142857",,"Basque","Battery","Basque","Battery","0.2857142857142857","0.2857142857142857","Basque","Battery","Basque","Battery","0.0","0.0"
"LinearCombinationMatchingRule","lyr_08233","mil_0490","0.3",,"Rock Me Baby","Rock Me Baby","Rock Me Baby","Rock Me Baby","1.0","1.0","Rock Me Baby","Rock Me Baby","Rock Me Baby","Rock Me Baby","1.0","0.0"
"LinearCombinationMatchingRule","lyr_07470","mil_0351","0.3",,"Friends","Friends","Friends","Friends","1.0","1.0","Friends","Friends","Friends","Friends","1.0","0.0"
"LinearCombinationMatchingRule","lyr_06919","mil_1538","0.15",,"Debra","Debakl","Debra","Debakl","0.5","0.5","Debra","Debakl","Debra","Debakl","0.0","0.0"
"LinearCombinationMatchingRule","lyr_11750","mil_1945","0.21428571428571427",,"My Band","My Babe","My Band","My Babe","0.7142857142857143","0.7142857142857143","My Band","My Babe","My Band","My Babe","0.3333333333333333","0.0"
"LinearCombinationMatchingRule","lyr_07246","mil_2328","0.27999999999999997",,"What A Freind We Have In Jesus","What A Friend We Have In Jesus","What A Freind We Have In Jesus","What A Friend We Have In Jesus","0.9333333333333333","0.9333333333333333","What A Freind We Have In Jesus","What A Friend We Have In Jesus","What A Freind We Have In Jesus","What A Friend We Have In Jesus","0.75","0.0"
"LinearCombinationMatchingRule","lyr_02700","mil_0392","0.1",,"Monkey","Moths","Monkey","Moths","0.33333333333333337","0.33333333333333337","Monkey","Moths","Monkey","Moths","0.0","0.0"
"LinearCombinationMatchingRule","lyr_13744","mil_2053","0.06666666666666667",,"Surrender","Supercuts","Surrender","Supercuts","0.2222222222222222","0.2222222222222222","Surrender","Supercuts","Surrender","Supercuts","0.0","0.0"
"LinearCombinationMatchingRule","lyr_02478","mil_3052","0.1285714285714286",,"Anytime","Andate","Anytime","Andate","0.4285714285714286","0.4285714285714286","Anytime","Andate","Anytime","Andate","0.0","0.0"
"LinearCombinationMatchingRule","lyr_00560","mil_0152","0.11249999999999999",,"Lullabye","Lucy","Lullabye","Lucy","0.375","0.375","Lullabye","Lucy","Lullabye","Lucy","0.0","0.0"
"LinearCombinationMatchingRule","lyr_11013","mil_1511","0.3",,"I Want You","I Want You","I Want You","I Want You","1.0","1.0","I Want You","I Want You","I Want You","I Want You","1.0","0.0"
"LinearCombinationMatchingRule","lyr_10381","mil_1760","0.3",,"Sweet Dreams","Sweet Dreams","Sweet Dreams","Sweet Dreams","1.0","1.0","Sweet Dreams","Sweet Dreams","Sweet Dreams","Sweet Dreams","1.0","0.0"
"LinearCombinationMatchingRule","lyr_11637","mil_2818","0.075",,"Shadrach","Shine","Shadrach","Shine","0.25","0.25","Shadrach","Shine","Shadrach","Shine","0.0","0.0"
