"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Actors","0.0","Actors-{actors_24|academy_awards_3187|golden_globes_2240}","{[[Actor: Vivien Leigh], [Actor: Marlon Brando], [Actor: Karl Malden], [Actor: Johnny Depp]]|[[Actor: Marlon Brando], [Actor: Karl Malden], [Actor: Vivien Leigh], [Actor: Kim Hunter]]|[[Actor: Vivien Leigh], [Actor: Kim Hunter]]}","[[Actor: Karl Malden], [Actor: Johnny Depp], [Actor: Vivien Leigh], [Actor: Marlon Brando], [Actor: Kim Hunter]]",,
"Title","1.0","Title-{actors_107|golden_globes_2205|academy_awards_2883}","{The King and I|King and I, The|The King and I}","The King and I",,
"Date","0.0","Date-{academy_awards_4207|actors_10}","{1937-01-01T00:00|1938-01-01T00:00}","1937-01-01T00:00",,
"Director","1.0","Director-{academy_awards_2570}","{Arthur Penn}","Arthur Penn",,
"Actors","0.6666666666666666","Actors-{golden_globes_1388|academy_awards_1487|actors_131}","{[[Actor: Robert Duvall], [Actor: Tess Harper]]|[[Actor: Robert Duvall]]|[[Actor: Robert Duvall]]}","[[Actor: Robert Duvall], [Actor: Tess Harper]]",,
"Title","1.0","Title-{actors_3|academy_awards_4500}","{The Divorcee|The Divorcee}","The Divorcee",,
"Title","1.0","Title-{academy_awards_2625|actors_34}","{Two Women|Two Women}","Two Women",,
"Director","1.0","Director-{academy_awards_968|golden_globes_866}","{Jane Campion|Jane Campion}","Jane Campion",,
"Date","0.6666666666666666","Date-{golden_globes_817|actors_141|academy_awards_902}","{1995-01-01T00:00|1995-01-01T00:00|1994-01-01T00:00}","1995-01-01T00:00",,
"Date","0.0","Date-{actors_97|academy_awards_3480}","{1947-01-01T00:00|1946-01-01T00:00}","1947-01-01T00:00","false","1946-01-01T00:00"
"Title","1.0","Title-{academy_awards_4446|actors_5}","{The Sin of Madelon Claudet|The Sin of Madelon Claudet}","The Sin of Madelon Claudet",,
"Director","1.0","Director-{academy_awards_1383}","{Hector Babenco}","Hector Babenco",,
"Director","0.0","Director-{golden_globes_1330|academy_awards_1430}","{Milo Forman|Milos Forman}","Milos Forman","true","Milos Forman"
"Title","1.0","Title-{golden_globes_1950|academy_awards_2194|actors_43}","{Prime Of Miss Jean Brodie, The|The Prime of Miss Jean Brodie|The Prime of Miss Jean Brodie}","The Prime of Miss Jean Brodie",,
"Director","1.0","Director-{golden_globes_562|academy_awards_608}","{Sam Mendes|Sam Mendes}","Sam Mendes",,
"Title","1.0","Title-{academy_awards_2446|golden_globes_2043|actors_115}","{My Fair Lady|My Fair Lady|My Fair Lady}","My Fair Lady",,
"Actors","0.6666666666666666","Actors-{golden_globes_1895|academy_awards_2085|actors_122}","{[[Actor: Gene Hackman]]|[[Actor: Gene Hackman], [Actor: Roy Scheider]]|[[Actor: Gene Hackman]]}","[[Actor: Gene Hackman], [Actor: Roy Scheider]]",,
"Actors","0.0","Actors-{golden_globes_2114|academy_awards_2620|actors_112}","{[[Actor: Maximilian Schell], [Actor: Judy Garland], [Actor: Montgomery Clift]]|[[Actor: Maximilian Schell], [Actor: Spencer Tracy], [Actor: Montgomery Clift], [Actor: Judy Garland]]|[[Actor: Maximilian Schell]]}","[[Actor: Montgomery Clift], [Actor: Spencer Tracy], [Actor: Judy Garland], [Actor: Maximilian Schell]]",,
"Title","1.0","Title-{golden_globes_2230|actors_103|academy_awards_3124}","{High Noon|High Noon|High Noon}","High Noon",,
"Title","1.0","Title-{academy_awards_1069|golden_globes_974|actors_65}","{The Silence of the Lambs|Silence Of The Lambs, The|The Silence of the Lambs}","The Silence of the Lambs",,
"Date","0.6666666666666666","Date-{golden_globes_2078|actors_35|academy_awards_2570}","{1963-01-01T00:00|1963-01-01T00:00|1962-01-01T00:00}","1963-01-01T00:00",,
"Date","0.6666666666666666","Date-{golden_globes_1983|actors_40|academy_awards_2288}","{1968-01-01T00:00|1968-01-01T00:00|1967-01-01T00:00}","1968-01-01T00:00",,
"Date","0.6666666666666666","Date-{academy_awards_503|golden_globes_463|actors_148}","{2001-01-01T00:00|2002-01-01T00:00|2001-01-01T00:00}","2001-01-01T00:00",,
"Date","0.6666666666666666","Date-{golden_globes_2004|academy_awards_2337|actors_117}","{1967-01-01T00:00|1966-01-01T00:00|1967-01-01T00:00}","1967-01-01T00:00",,
"Title","1.0","Title-{actors_11|academy_awards_4146}","{Jezebel|Jezebel}","Jezebel","true","Jezebel"
"Date","0.6666666666666666","Date-{actors_75|academy_awards_508|golden_globes_454}","{2002-01-01T00:00|2001-01-01T00:00|2002-01-01T00:00}","2002-01-01T00:00",,
"Title","1.0","Title-{golden_globes_1983|actors_40|academy_awards_2288}","{Guess Who's Coming To Dinner|Guess Who�s Coming to Dinner|Guess Who's Coming to Dinner}","Guess Who's Coming To Dinner",,
"Date","0.0","Date-{academy_awards_4140|actors_89}","{1938-01-01T00:00|1939-01-01T00:00}","1938-01-01T00:00",,
"Date","0.0","Date-{actors_104|academy_awards_3059}","{1954-01-01T00:00|1953-01-01T00:00}","1954-01-01T00:00","false","1953-01-01T00:00"
"Date","0.6666666666666666","Date-{academy_awards_845|golden_globes_758|actors_69}","{1995-01-01T00:00|1996-01-01T00:00|1996-01-01T00:00}","1996-01-01T00:00",,
"Title","1.0","Title-{golden_globes_2078|actors_35|academy_awards_2570}","{Miracle Worker, The|The Miracle Worker|The Miracle Worker}","The Miracle Worker",,
"Date","0.6666666666666666","Date-{golden_globes_1950|academy_awards_2194|actors_43}","{1970-01-01T00:00|1969-01-01T00:00|1970-01-01T00:00}","1970-01-01T00:00",,
"Actors","0.0","Actors-{actors_82|academy_awards_4469}","{[[Actor: Lionel Barrymore]]|[[Actor: Lionel Barrymore], [Actor: Norma Shearer]]}","[[Actor: Lionel Barrymore], [Actor: Norma Shearer]]","true","[[Actor: Lionel Barrymore], [Actor: Norma Shearer]]"
"Director","1.0","Director-{academy_awards_2334|golden_globes_2000}","{Mike Nichols|Mike Nichols}","Mike Nichols",,
"Date","0.0","Date-{academy_awards_3418|actors_98}","{1947-01-01T00:00|1948-01-01T00:00}","1947-01-01T00:00",,
"Title","0.6666666666666666","Title-{golden_globes_2114|academy_awards_2620|actors_112}","{Judgment at Nuremberg|Judgment at Nuremberg|Judgment at Nuremburg}","Judgment at Nuremberg",,
"Title","0.6666666666666666","Title-{actors_42|golden_globes_1963|academy_awards_2233}","{The Lion in Winter|Lion In Winter (1969), The|The Lion in Winter}","The Lion in Winter",,
